"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev"
"130","Derrick Favors","OKC","C,PF OUT","98","201","138.3","32.0"
"131","Jonathan Isaac","ORL","SF,PF OUT","90","244","138.6","45.0"
"132","Royce O'Neale","UTH","SF,PF DTD","116","177","139.6","18.7"
"133","Marcus Morris Sr.","LAC","PF,C,SF","107","172","139.8","15.5"
"134","Malik Beasley","MIN","PG,SG,SF","91","179","140.4","27.1"
"135","Steven Adams","MEM","C DTD","112","209","140.6","24.9"
"136","Montrezl Harrell","CHA","PF,C","127","163","140.9","11.2"
"137","Will Barton","DEN","SG,SF DTD","114","165","142.0","12.2"
"138","Tim Hardaway Jr.","DAL","SG,SF OUT","84","176","142.3","29.3"
"139","Danny Green","PHI","SG,SF DTD","95","177","143.8","26.4"
"140","Patrick Williams","CHI","SF,PF","123","173","144.1","14.3"
"141","Dillon Brooks","MEM","SG,SF DTD","95","192","144.3","22.0"
"142","Tyler Herro","MIA","PG,SG DTD","111","182","146.0","19.4"
"143","Klay Thompson","GSW","SG,SF","98","237","147.3","36.2"
"144","Eric Bledsoe","POR","PG,SG OUT","117","177","148.4","17.6"
"145","Isaiah Roby","OKC","C,PF","111","195","149.2","23.3"
"146","Kevin Huerter","ATL","SG,SF DTD","122","222","149.8","26.0"
"147","Gary Trent Jr.","TOR","SG,SF DTD","105","172","150.7","21.8"
"148","Aaron Gordon","DEN","SF,PF DTD","112","214","151.3","26.6"
"149","Andre Drummond","BKN","C DTD","116","199","151.3","23.7"
"150","Matisse Thybulle","PHI","SG,SF DTD","98","246","152.0","34.7"
"151","Donte DiVincenzo","SAC","PG,SG","126","183","153.6","15.4"
"152","Seth Curry","BKN","PG,SG DTD","117","192","153.8","16.4"
"153","Dorian Finney-Smith","DAL","SF,PF DTD","110","196","154.1","25.4"
"154","Desmond Bane","MEM","PG,SG,SF","111","211","155.8","30.8"
"155","Danilo Gallinari","ATL","SF,PF DTD","137","189","157.8","14.5"
"156","Aleksej Pokusevski","OKC","SF,PF DTD","119","174","146.0","17.4"
"157","Daniel Theis","BOS","PF,C","138","178","159.8","10.7"
"158","Tyrese Maxey","PHI","PG,SG","113","222","161.6","35.4"
"159","Khem Birch","TOR","PF,C","124","173","150.2","15.7"
"160","Derrick Rose","NYK","PG,SG OUT","131","194","163.3","18.6"
"161","Nic Claxton","BKN","C,PF DTD","119","245","163.9","39.4"
"162","Josh Giddey","OKC","PG,SG","100","179","137.7","27.4"
"163","Jae Crowder","PHO","SF,PF DTD","116","199","167.8","24.3"
"164","Monte Morris","DEN","PG,SG","144","183","168.0","11.3"
"165","Terrence Ross","ORL","SG,SF","100","204","168.3","33.8"
"166","Rui Hachimura","WAS","SF,PF","124","239","168.7","26.0"
"167","Ricky Rubio","IND","PG OUT","114","200","168.9","21.2"
"168","Facundo Campazzo","DEN","PG","134","196","169.3","17.0"
"169","Isaac Okoro","CLE","SG,SF","145","211","172.0","16.7"
"170","James Wiseman","GSW","C OUT","131","289","173.6","38.5"
"171","John Wall","HOU","PG OUT","89","328","166.8","66.2"
"172","Josh Richardson","SAS","SG,SF DTD","130","198","176.1","19.9"
"173","Killian Hayes","DET","PG,SG DTD","134","240","176.8","29.3"
"174","Luguentz Dort","OKC","SG,SF OUT","148","207","178.3","17.7"
"175","Justin Holiday","SAC","SG,SF","115","208","178.8","30.4"
"176","Brandon Clarke","MEM","SF,PF,C DTD","162","192","179.2","8.6"
"177","Kawhi Leonard","LAC","SG,SF,PF OUT","75","238","155.0","47.7"
"178","Cole Anthony","ORL","PG DTD","129","228","180.8","24.9"
"179","T.J. Warren","IND","SF,PF OUT","106","259","183.3","38.4"
"180","Xavier Tillman","MEM","PF,C","91","220","173.1","31.0"
"181","Thomas Bryant","WAS","C DTD","102","273","183.9","44.0"
"182","Otto Porter Jr.","GSW","SF,PF","124","213","185.9","22.4"
